timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
3.639002984,3.639002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,241,240
3.6390046912,3.6390046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,241,240
3.6390063984,3.6390063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,241,240
3.6395010168,3.6395010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,241,240
3.640002984,3.640002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,241,240
3.6410010168,3.6410010168,10.0.3.80,4009,car[10],2000,0.0004997324,0,0.002,241,240
3.6420010168,3.6420010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,241,240
3.646002984,3.646002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,242,241
3.6460046912,3.6460046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,242,241
3.6460051352,3.6460051352,10.0.4.48,4009,car[14],2000,0.006503378,0,0.002,241,240
3.646502984,3.646502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,242,241
3.6465046912,3.6465046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,242,241
3.6465063984,3.6465063984,10.0.6.253,4009,car[19],2000,0.0005012268,0,0.002,42,41
3.647002984,3.647002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,242,241
3.647003428,3.647003428,10.0.3.24,4009,car[9],2000,0.0004987292,0,0.002,242,241
3.647005164,3.647005164,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,242,241
3.647502984,3.647502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,242,241
3.6475046912,3.6475046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,242,241
3.648502984,3.648502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,242,230
3.6485046912,3.6485046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,242,241
3.6490042184,3.6490042184,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,242,241
3.6490059256,3.6490059256,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,242,241
3.6490076328,3.6490076328,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,242,241
3.6495010168,3.6495010168,10.0.2.112,4009,car[6],2000,0.0004997324,0,0.002,242,241
3.650002984,3.650002984,10.0.4.48,4009,car[14],2000,0.0000016996,0,0.002,242,241
3.651002984,3.651002984,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,242,241
3.6515010168,3.6515010168,10.0.3.80,4009,car[10],2000,0.0009997324,0,0.002,242,241
3.652002984,3.652002984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,242,241
3.656002984,3.656002984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,243,242
3.6560046912,3.6560046912,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,243,242
3.6560063984,3.6560063984,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,243,242
3.656502984,3.656502984,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,243,242
3.6565059256,3.6565059256,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,243,242
3.657002984,3.657002984,10.0.2.56,4009,car[5],2000,0.0004999924,0,0.002,243,242
3.6570046912,3.6570046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,243,242
3.6575010168,3.6575010168,10.0.2.0,4009,car[4],2000,0.0004997324,0,0.002,243,242
3.658002984,3.658002984,10.0.2.112,4009,car[6],2000,0.0000016996,0,0.002,243,242
3.658502984,3.658502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,243,231
3.6585046912,3.6585046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,243,242
3.6585063984,3.6585063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,43,42
3.659002984,3.659002984,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,243,242
3.6590046912,3.6590046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,243,242
3.659502984,3.659502984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,243,242
3.6595046912,3.6595046912,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,243,242
3.660002984,3.660002984,10.0.4.48,4009,car[14],2000,0.0000016996,0,0.002,243,242
3.660502984,3.660502984,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,243,242
3.661002984,3.661002984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,243,242
3.6620010168,3.6620010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,243,242
3.666002984,3.666002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,244,243
3.6660046912,3.6660046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,244,243
3.6660063984,3.6660063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,44,43
3.666502984,3.666502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,244,243
3.6665046912,3.6665046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,244,243
3.6665063984,3.6665063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,244,243
3.667002984,3.667002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,244,243
3.6670046912,3.6670046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,244,243
3.667502984,3.667502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,244,243
3.6675046912,3.6675046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,244,243
3.6680042184,3.6680042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,244,243
3.668502984,3.668502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,244,232
3.6685046912,3.6685046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,244,243
3.669002984,3.669002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,244,243
3.6690046912,3.6690046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,244,243
3.6690063984,3.6690063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,244,243
3.6695010168,3.6695010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,244,243
3.670002984,3.670002984,10.0.4.48,4009,car[14],2000,0.0005012268,0,0.002,244,243
3.6705010168,3.6705010168,10.0.3.80,4009,car[10],2000,0.0004997324,0,0.002,244,243
