timestamp,idFrame,downlink_delay(s),deviceSimbolicAppAddress_,speed,roadID,AppName,ueAppPort,nbRcvMsg, from,nb_neighbor
1.2745,1,0.0024950648,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690259,car[12],3
1.275,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,10,car[14],2
1.275,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,10,car[14],2
1.275,4,0.0024966568,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,14,pong,3
1.275,1,0.0024967144,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690258,car[14],3
1.2755,4,0.0024968296,car[10],traciVehicle->getSpeed(),4006705#1,test,4009,3,pong,0
1.276,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,11,car[17],2
1.276,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,11,car[17],2
1.276,1,0.0024967144,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,15,car[17],3
1.276,4,0.0024966568,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690257,pong,3
1.28,4,0.0024968296,car[0],traciVehicle->getSpeed(),30405358#0,test,4009,3,pong,0
1.2805,5,0.0024965992,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537860,pong,4
1.2805,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537861,car[2],4
1.2805,1,0.0024968296,car[2],traciVehicle->getSpeed(),4006683,test,4009,16,car[1],3
1.2805,5,0.0024949496,car[2],traciVehicle->getSpeed(),4006683,test,4009,17,pong,3
1.2805,1,0.0024934152,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184426,car[5],2
1.2805,5,0.0024931848,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195195,pong,4
1.2805,1,0.0024933576,car[7],traciVehicle->getSpeed(),25472299,test,4009,12,car[5],2
1.2805,1,0.0024933,car[9],traciVehicle->getSpeed(),4006691,test,4009,20,car[5],4
1.2805,1,0.002496772,car[11],traciVehicle->getSpeed(),37591481,test,4009,12,car[1],2
